"SamAccountName","Acces"
"adrienb","AD-ADMIN"
"adrienb","CRM-LEC"
"adrienb","CRM-PILOT"
"adrienb","DEVIS-VALID"
"adrienb","FCT-CONGES"
"adrienb","FCT-FORM"
"adrienb","FCT-NDF"
"adrienb","FCT-ORG"
"adrienb","MARGE-CONSULT"
"adrienb","PM-BUDGET"
"adrienb","SITE-BADGE-LYO"
"adrienb","SITE-IMP-LYO"
"adrienb","SITE-WIFI-LYO"
"adrienb","SOC-DOC"
"adrienb","SOC-INTRA"
"adrienb","SOC-MSG"
"adrienb","SOC-VPN"
"adrienl","CRM-EXPORT"
"adrienl","CRM-LEC"
"adrienl","CRM-SAISIE"
"adrienl","DEVIS-CREA"
"adrienl","FCT-CONGES"
"adrienl","FCT-FORM"
"adrienl","FCT-NDF"
"adrienl","POSTE-CONSOLE"
"adrienl","PROSPECT-BASE"
"adrienl","SITE-BADGE-MTZ"
"adrienl","SITE-IMP-MTZ"
"adrienl","SITE-WIFI-MTZ"
"adrienl","SOC-DOC"
"adrienl","SOC-INTRA"
"adrienl","SOC-MSG"
"adrienl","SOC-VPN"
"adrienl","TARIF-CONSULT"
"adrienl","TARIF-REMISE"
"adrienm","DOC-METHODO"
"adrienm","FCT-CONGES"
"adrienm","FCT-FORM"
"adrienm","FCT-NDF"
"adrienm","FCT-TEMPS"
"adrienm","LIVRABLE-CLI"
"adrienm","MISSION-PORT"
"adrienm","SITE-BADGE-PAR"
"adrienm","SITE-IMP-PAR"
"adrienm","SITE-WIFI-PAR"
"adrienm","SOC-DOC"
"adrienm","SOC-INTRA"
"adrienm","SOC-MSG"
"adrienm","SOC-VPN"
"adrienv","BI-CODIR"
"adrienv","CRM-SEGMENT"
"adrienv","DIR-TABLEAU"
"adrienv","FCT-CONGES"
"adrienv","FCT-ENTRETIEN"
"adrienv","FCT-FORM"
"adrienv","FCT-NDF"
"adrienv","FCT-NDF-VALID"
"adrienv","FCT-ORG"
"adrienv","JURIDIQUE-CTR"
