Utilisateur;Groupe
M001;BADGE-NCY
M001;CONGES
M001;GED
M001;IMP-NCY
M001;INTRANET
M001;MSG
M001;NDF
M002;BADGE-NCY
M002;CONGES
M002;GED
M002;IMP-NCY
M002;INTRANET
M002;MSG
M002;NDF
M010;BADGE-NCY
M010;CONGES
M010;ECM-PROD
M010;ECM-REVISION
M010;GED
M010;IMP-NCY
M010;INTRANET
M010;LIASSE
M010;MSG
M010;NDF
M011;BADGE-NCY
M011;CONGES
M011;ECM-PROD
M011;ECM-REVISION
M011;GED
M011;IMP-NCY
M011;INTRANET
M011;LIASSE
M011;MSG
M012;BADGE-NCY
M012;CONGES
M012;ECM-PROD
M012;ECM-REVISION
M012;GED
M012;IMP-NCY
M012;INTRANET
M012;LIASSE
M012;MSG
M013;BADGE-STR
M013;CONGES
M013;ECM-PROD
M013;ECM-REVISION
M013;GED
M013;IMP-STR
M013;INTRANET
M013;LIASSE
M013;MSG
M014;BADGE-STR
M014;CONGES
M014;ECM-PROD
M014;ECM-REVISION
M014;GED
M014;IMP-STR
M014;INTRANET
M014;LIASSE
M014;MSG
M015;BADGE-NCY
M015;CONGES
M015;ECM-PROD
M015;ECM-REVISION
M015;GED
M015;IMP-NCY
M015;INTRANET
M015;MSG
M016;BADGE-STR
M016;CONGES
M016;ECM-PROD
M016;ECM-REVISION
M016;IMP-STR
M016;INTRANET
M016;MSG
M017;BADGE-NCY
M017;CONGES
M017;ECM-PROD
M017;GED
M017;IMP-NCY
M017;INTRANET
M017;MSG
M020;BADGE-NCY
M020;CONGES
M020;CONTRAT
M020;DSN
M020;GED
M020;IMP-NCY
M020;INTRANET
M020;MSG
M020;NDF
M020;SILAE
M021;BADGE-NCY
M021;CONGES
M021;CONTRAT
M021;DSN
M021;GED
M021;IMP-NCY
M021;INTRANET
M021;MSG
M021;SILAE
M022;BADGE-NCY
M022;CONGES
M022;CONTRAT
M022;DSN
M022;GED
M022;IMP-NCY
M022;INTRANET
M022;MSG
M022;SILAE
M023;BADGE-STR
M023;CONGES
M023;DSN
M023;IMP-STR
M023;INTRANET
M023;MSG
M023;SILAE
M024;BADGE-STR
M024;CONGES
M024;DSN
M024;GED
M024;IMP-STR
M024;INTRANET
M024;MSG
M024;SILAE
M030;AUDIT-DOSSIER
M030;BADGE-STR
M030;CAC-SIGNATURE
M030;CONGES
M030;GED
M030;IMP-STR
M030;INTRANET
M030;MSG
M030;NDF
M031;AUDIT-DOSSIER
M031;BADGE-STR
M031;CONGES
M031;GED
M031;IMP-STR
M031;INTRANET
M031;MSG
M032;AUDIT-DOSSIER
M032;BADGE-STR
M032;CONGES
M032;GED
M032;IMP-STR
M032;INTRANET
M032;MSG
M033;AUDIT-DOSSIER
M033;BADGE-NCY
M033;CONGES
M033;GED
M033;IMP-NCY
M033;INTRANET
M033;MSG
M040;AD-ADMIN
M040;BADGE-NCY
M040;CONGES
M040;GED
M040;IMP-NCY
M040;INTRANET
M040;MSG
M040;NDF
M040;SUPERVISION
M041;AD-ADMIN
M041;BADGE-NCY
M041;CONGES
M041;GED
M041;IMP-NCY
M041;INTRANET
M041;MSG
M041;SUPERVISION
M042;AD-ADMIN
M042;BADGE-STR
M042;CONGES
M042;GED
M042;IMP-STR
M042;INTRANET
M042;MSG
M042;SUPERVISION
P001;BADGE-NCY
P001;ECM-PROD
P001;GED
P001;IMP-NCY
P001;INTRANET
P001;MSG
P002;BADGE-STR
P002;ECM-PROD
P002;GED
P002;IMP-STR
P002;INTRANET
P002;MSG
P003;AD-ADMIN
P003;BADGE-NCY
P003;GED
P003;IMP-NCY
P003;INTRANET
P003;MSG
M099;MSG
